x	y	z	peak
18	73	50	3.3332405293747827
19	46	62	2.5808782511599691
19	67	55	4.482594584499501
20	32	31	5.1244266115875297
20	65	52	4.5932668157830525
20	80	46	3.8059379137852161
21	72	33	3.5916155702945289
22	27	29	4.9159825699132949
22	36	31	4.9997936334487081
22	67	50	4.7424703664147971
24	36	25	4.0716070116595589
25	44	56	3.9904433988878076
25	86	53	2.524829575993051
25	89	49	2.4469413819537702
26	20	34	5.0830550912023371
26	44	18	2.8087837375908182
26	46	23	2.5726481120743925
26	62	67	4.8187706060529818
27	23	46	3.8969346594004333
27	28	26	4.5416880125370556
27	39	19	3.1835659440353554
27	39	59	4.5991735125302
28	19	48	3.8586132055088371
28	20	39	5.106099167280413
28	23	55	3.5112561583763116
28	35	65	4.4285412827695207
28	41	25	4.289038036359635
28	76	36	5.2678613589782515
29	31	58	4.3729631960337443
29	60	61	4.097702216801733
30	19	32	4.776576050147523
30	48	19	2.4912783126035554
30	85	54	2.582390653856208
31	32	21	3.3411687116126676
31	83	26	3.0799674676550439
32	44	45	2.7127963019617694
32	81	25	3.6034376947918179
33	47	16	2.9299984420854033
34	29	63	5.0941166549537034
34	50	22	2.8243031448911116
34	50	34	3.049677857075682
34	68	35	3.0893654328373703
35	34	38	2.6402050531088319
35	52	18	4.2496092080284047
36	64	23	2.8273282637959234
36	75	36	2.5085825499879739
37	57	19	2.456680456871037
38	30	41	2.9127339728607429
38	67	71	2.3626794509293103
39	49	29	3.4636963372169181
40	54	30	2.5087678305737722
40	55	41	3.2642109328686515
40	63	44	3.7907984060548756
40	68	72	2.4167094014921089
40	72	55	3.4665830142383833
40	74	52	3.2567814673415403
41	65	38	3.5981743684259135
41	70	41	2.8304609518636181
42	27	24	3.8601822065716251
42	47	35	4.3971947454124063
43	25	17	4.0036730066777491
43	64	51	2.7502831202285711
44	43	20	4.1021770409719309
44	48	49	3.0963178214472258
44	55	27	2.4355741492247875
44	56	29	2.674389593509571
44	62	30	2.8982921536297925
45	38	17	5.0421145156113534
45	44	16	4.113033781140941
45	53	42	3.3541889064569199
45	57	25	3.6477152217465472
45	66	52	2.9158708384682779
45	70	59	4.9994929683478828
45	76	55	4.0742657203494739
46	42	31	2.7981812227840273
46	49	36	4.5760689041665943
46	63	66	5.2063702740137536
47	25	17	4.2722042090020951
47	42	22	2.7014660906977217
48	32	70	2.8986178117218593
48	50	50	2.5757183535923174
48	64	38	4.9371301591397918
49	27	23	3.4766667185429898
49	62	43	4.2328473220834315
50	29	66	3.776234853493293
50	53	31	2.4339246632273377
50	55	41	4.0337349232401509
50	58	25	3.095850864267728
51	17	33	3.2438743417896427
51	48	28	3.3161564355646589
52	40	17	2.7664678041471396
52	42	15	2.6378886029037094
52	58	46	3.7122329271152186
54	64	31	2.6705327940852168
55	29	39	2.664557559523336
55	45	15	2.8407303194619509
55	46	48	2.5702269472729737
55	52	19	3.265134725431202
56	27	62	4.6306944394421627
56	48	41	2.4382816640550802
56	50	34	3.3676485478655729
56	64	40	3.8527174811692233
57	47	15	3.2373930034872522
57	64	31	2.6151185727986124
58	17	33	4.8797616107022721
58	24	31	2.5279234518774576
58	26	50	4.1227026941524096
58	30	60	4.5393875551244216
58	61	62	3.8572120662832958
59	19	27	3.7920041857039704
59	19	42	4.532370048388648
59	33	29	2.4160629744434532
59	59	70	4.8575410726030999
60	32	21	2.593585005557201
60	38	58	4.2399053267773645
61	74	36	4.4045131627777518
63	26	26	3.9678684275262683
63	36	26	3.9266161895701073
64	21	43	2.9833384882613094
64	36	66	3.530470895356697
65	68	49	4.3189408298212859
66	41	22	4.1072007011414424
66	43	57	4.7622301200223278
66	66	37	2.6032975551140227
66	84	39	2.509162311082298
67	25	31	4.8039086832020317
67	61	66	4.4251456196613992
67	67	28	2.6340797080211065
68	29	30	5.0610044951975386
68	34	32	4.9208990893818942
68	41	29	3.4500107700236629
69	75	48	3.8244029076779826
69	79	41	3.7876797848582417
70	65	51	5.2727409810640404
71	63	56	4.779152332900054
71	69	35	3.570469503122272
72	63	59	4.8309195614113207
72	67	43	3.6786737736349835
73	33	29	4.4573847481959925
73	46	54	2.336403284045276
74	73	43	2.4419520168555287
